City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,yining,29.0361,114.5636,59.74,87,0,2.57,CN,1680372648
213,juneau,58.3019,-134.4197,36.21,97,75,0.0,US,1680372648
214,saint-pierre,-21.3393,55.4781,80.28,78,75,6.91,RE,1680372649
215,atbasar,51.8,68.3333,25.21,78,2,9.84,KZ,1680372650
216,faanui,-16.4833,-151.75,82.08,72,22,4.76,PF,1680372650
217,auki,-8.7676,160.7034,78.08,85,98,0.38,SB,1680372651
218,sunagawa,43.4864,141.9056,34.66,93,72,4.18,JP,1680372651
219,kawalu,-7.3817,108.2082,72.21,95,100,1.07,ID,1680372652
220,airai,-8.9266,125.4092,60.15,95,100,0.92,TL,1680372652
221,mahebourg,-20.4081,57.7,80.26,83,20,6.91,MU,1680372653
222,pokosnoye,55.5258,101.0536,5.88,96,72,3.78,RU,1680372653
223,sabzevar,36.2126,57.6819,60.12,35,8,7.38,IR,1680372654
224,namibe,-15.1961,12.1522,76.33,82,97,9.33,AO,1680372655
225,buala,-8.145,159.5921,78.87,79,94,2.71,SB,1680372656
226,wawa,9.9022,4.4192,93.27,26,47,4.0,NG,1680372657
227,luwuk,-0.9516,122.7875,77.18,78,100,2.39,ID,1680372657
228,puerto escondido,15.85,-97.0667,88.63,62,0,4.61,MX,1680372659
229,bathsheba,13.2167,-59.5167,81.21,74,40,23.02,BB,1680372660
230,keuruu,62.2667,24.7,30.38,94,10,4.65,FI,1680372661
231,arlit,18.7369,7.3853,82.53,6,1,12.15,NE,1680372662
232,guerrero negro,27.9769,-114.0611,65.01,53,1,12.59,MX,1680372662
233,krasnoselkup,65.7,82.4667,30.63,95,100,28.16,RU,1680372663
234,morrope,-6.5417,-80.0111,86.43,59,81,11.43,PE,1680372663
235,mirnyy,62.5353,113.9611,-16.29,100,42,4.5,RU,1680372664
236,thunder bay,48.4001,-89.3168,28.62,64,50,6.8,CA,1680372665
237,zhigansk,66.7697,123.3711,-17.23,100,80,6.89,RU,1680372667
